url,type
http://107.173.49.10/i586,malware
wn.com/Canal_Indigo,benign
www2.cs.uh.edu/~somalley/campath.html,phishing
break.com/index/idiot-kicks-flaming-basketball.html,benign
binaryonlinewealth.com,phishing
web.cs.toronto.edu/research/groups/ai.htm,phishing
aceshowbiz.com/celebrity/joely_fisher/,benign
http://www.horizonte-hospizverein.de/index.php?option=com_eventlist&view=details&id=79:informations-abend-zur-qualifizierung-zumzur-hospizhelferin&Itemid=126,defacement
mylife.com/c-148806863878,benign
www.mxdpi.com/pictures/SUPERMODELS/Estella_Warren,phishing
encyclopedia.com/topic/John_Galt.aspx,benign
https://gbc.mk/dew23/saw23/?email=email@domain.com,phishing
http://fb.com.accounts.login.userid.273345.face93.com/th2/fbn/,phishing
museumstuff.com/learn/topics/Fellow_of_the_Royal_Society::sub::Coat_Of_Arms,benign
webdubois.org/wdb-rw.html,benign
chefjeanclaude.com/my-story/,benign
osc.edu/education/online/Projects/urban_sprawl/index.shtml,benign
we3d.net/ethan-hawke-welcomes-his-fourth-child/,benign
http://www.kdw-nettetal.de/index.php/programm-2013/104-musik-im-zelt-2013.html?tmpl=component&print=1&page=,defacement
https://drive.google.com/u/0/uc?id=12iFCPIkFttDepyF-50TP5ToEO5PUJTkl&export=download,malware
www.jasabii.com/js/BBrasil.php,benign
http://www.tepolsa.com/index.php?option=com_content&view=article&id=7&Itemid=7,defacement
https://apbfiber.com/openme/710dd3optoor.exe,malware
politicadeprivacidade.ml,phishing
http://37.49.226.210/bins/UnHAnaAW.arm6,malware
provigoinc-sherbrooke.foodpages.ca/,benign
infosboitevocaleorangecompte.pe.hu,phishing
angusrobertson.com.au/book/doctor-johnson-his-life-works-and-table-talk/8609351/,benign
articles.sfgate.com/2010-05-07/bay-area/20887999_1_buildings-at-stanford-university-grave-site-lafayette-square,benign
http://wikiwiki.jp/sample/?%A5%C7%A5%B6%A5%A4%A5%F3%A5%C6%A5%F3%A5%D7%A5%EC%A1%BC%A5%C8%2Fdefault_silver_z,benign
http://uproxx.com/dimemag/2015/05/john-wall-dribbled-and-shot-with-injured-hand-tuesday/,benign
americantowns.com/nj/trenton/news/pumpkin-patch-farms-and-pumpkin-picking-guide-for-new-jersey-nj-10761,benign
metrolyrics.com/nobodys-daughter-lyrics-courtney-love.html,benign
myspace.com/beneaththemassacre,benign
http://pastehtml.com/view/bg4ls121n.html,phishing
dewayneinsd.com/rick-mccoy-and-parker-d-cocksuremen/,benign
http://www.artzone-chronicles.fr/index.php?option=com_content&view=article&id=108:evolution-changelins-tome-1-de-sophie-dabat&catid=41:musique&Itemid=12,defacement
www.rubbermonkey.org/opdesign/,phishing
https://app.box.com/s/b9fu9axf9rcv7bhjp80fpcm8zna5wcwi,phishing
soundtrackinfo.com/OST/intothewest/,benign
hiphop-n-more.com/2010/11/nicki-minaj-pink-friday-promo-pics/,benign
http://www.ilovespeedbumps.com/wp-content/themes/ifeature/core/css/foundation.css,malware
galenagazette.com/main.asp?SectionID=82&SubSectionID=116&ArticleID=16350,benign
imdb.com/name/nm0217935/,benign
apple.imagineenergy.com.au,phishing
americafirst.com/,benign
marinecorpsleague1209.org/index.php?option=com_content&task=view&id=114,benign
westislandgazette.com/justbetweenus/22621,benign
meliksahbardakci.com/components/index.htm,benign
http://www.willemdijkstra.nl/index.php?option=com_content&view=article&id=26&Itemid=18,defacement
www.allexperts.com/browse.cgi?catLvl=3&amp;catID=1063,phishing
filesharingrapid.com/5x10-All-the-BEST-CLIPS-1999-2009-iso-torrent.html,benign
members.tripod.com/~Lazlo/index.html,phishing
www.antaradms.com/AntaraSys/paypal/,benign
bestbandbeatsbadband.com/2006/12/08/big-day-out-local-bands.aspx,benign
http://www.fonatsch.at/index.php/edelstahlmaste/lieferprogramm.html,defacement
www.w3.org/Provider/Style/URI,phishing
http://www.ijsbaanapeldoorn.nl/fotos-videos.html,defacement
https://shop.gci.exoret.com/,phishing
reunion.com/michaeldonaldson/2/,benign
https://addergytech.com/storage/alibaba/vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc.php,phishing
photos.lucywho.com/lorenzo-lamas-photos-t20802.html,benign
http://www.ricardoitalo.com.br/portal/index.php?option=com_prayercenter&view=moderate&Itemid=93,defacement
lauren9u.beget.tech,phishing
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR8Kc-SGbUoNa9k-TJ8hyYebJh9nileUQUmqDnb7gr5iM-duvvqpQ,malware
http://www.hjlaw.biz/index.php?option=com_user&view=remind,defacement
macm.org/en/expositions/quebec-triennial-2011/,benign
www.macspeedzone.com/archive/5.0/usbcomparison.html,phishing
hockeydb.com/ihdb/stats/pdisplay.php?pid=50619,benign
tinhquadem11.byethost9.com,phishing
https://docs.google.com/forms/d/e/1FAIpQLSflxxuI_0dV49fhRtRiIo5E1uN2RBMGgMLQI-6qGDZVNV-ZVQ/viewform,phishing
padmapper.com/search/apartments/Quebec/Montreal-est/,benign
http://pestlorinc.net/blog/control/,phishing
www.msri.org/realvideo/ln/msri/2000/gametheory/scott/1/,phishing
askmen.com/celebs/women/singer_60/91_melissa_auf_der_maur.html,benign
mail.flas.com.ua/dist/logon/to/your/account/visa.dk/acc/,benign
http://tanzaniawerkgroeptilburg.nl/news,defacement
pwa.wrestlingx.net/wrestler.php?id=1006,benign
tumblr.com/tagged/david+rakoff,benign
http://www.thomasopen.nl/index.php/kunst/exposities,defacement
zillow.com/homes/browse/Castro-Valley-CA/94546/Lake-Chabot-Rd_2671440/,benign
onpitchsinging.com/,benign
https://firebasestorage.googleapis.com/v0/b/noted-slice-214311.appspot.com/o/update14.html?alt=media&amp;token=4da52cd4-01cc-4e94-a515-cc8023ee4bcb#frank.dee@dic.com,phishing
mutanki.net,phishing
http://www.mueblesjoval.cl/index.php?option=com_morfeoshow&task=view&gallery=79&Itemid=63,defacement
www.medpagetoday.com/Blogs/28961,phishing
http://www.vitalsil.pt/index.php?Itemid=8&option=com_zoo&view=item&category_id=10&item_id=19,defacement
wmagazine.com/beauty/2008/09/la_prairie,benign
https://tsite.jp/login/index.pl?xpg=PCUI0401&ret=https%3a%2f%2ftsite%2ejp%2fentry%2findex%2epl%3fxpg%3dPCEC0102%26pid%3d00026,benign
http://www.cvoaccent.nl/index.php?option=com_content&view=article&id=123:activiteitenarchief-accent-delfshaven&catid=1&Itemid=145,defacement
www.faber-italy.com/dex.htm,phishing
http://www.zibae.ir/index.php?option=com_content&view=category&layout=blog&id=8&Itemid=11,defacement
faqs.org/copyright/peter-pan-by-walt-disney-productions-employer-for-hire-of-2/,benign
facebook.com/pages/Gregs-Campbell-Nelson-NissanVW-Page/146882788705374,benign
http://159.89.130.58/SBIDIOT/mpsl,malware
http://gazomer.com/vodonagrevateli/vodonagrevateli-nak-type/36-titan-rfb-50f,defacement
whosdatedwho.com/tpx_614063/angels-with-dirty-faces/,benign
https://playarprint.com/chase/home.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon=MjA4MzEwNzMwNw==MjA4MzEwNzMwNw==&amp;session=MjA4MzEwNzMwNw==MjA4MzEwNzMwNw==,phishing
www.command-digital.com/autohook.htm,phishing
http://9779.info/%E8%9D%B4%E8%9D%B6%20%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,malware
bjcurio.com/js/index.htm?app,benign
blog.jillbergeronphotography.com/?p=370,benign
interactive-entertainment.net/,benign
www.ibdhost.com/help/optimize/,phishing
facebook.com/pages/Charles-B-Wheeler/106343572734849,benign
metrolyrics.com/simple-plan-lyrics.html,benign
http://jezebel.com/since-when-did-kanye-common-and-raven-symone-stop-bein-1703617488/module/,benign
linkedin.com/in/michaelcairns,benign
http://steamcommunity.com/stats/TF2/achievements/%22http://steamcommunity.com/greenlight/%22,benign
www.echocanyonar.com/sitemap/paypal.com/de/.9d4f47e6389393e534a5e8a8f2/cgi-bin/webscrcmd=_login-run&amp;dispatch=5885d80a13c0db1f8e263663d3faee8dc60d77e6184470d51976060a4ab6ee74.php,benign
